9.26284e+06, 9.26206e+06, 9.27882e+06, 9.26649e+06, 9.27956e+06, 9.2672e+06, 
9.26276e+06, 9.26154e+06, 9.27852e+06, 9.26625e+06, 9.27953e+06, 9.26708e+06, 
9.26277e+06, 9.26167e+06, 9.27854e+06, 9.26627e+06, 9.27934e+06, 9.26706e+06, 
9.26269e+06, 9.26168e+06, 9.2784e+06, 9.26627e+06, 9.27963e+06, 9.26689e+06, 
9.26277e+06, 9.26167e+06, 9.27859e+06, 9.26618e+06, 9.27952e+06, 9.26717e+06, 
9.26279e+06, 9.26161e+06, 9.27853e+06, 9.2664e+06, 9.27946e+06, 9.26713e+06, 
9.26275e+06, 9.2617e+06, 9.27847e+06, 9.2663e+06, 9.27963e+06, 9.26699e+06, 
9.26286e+06, 9.26163e+06, 9.27855e+06, 9.2662e+06, 9.27959e+06, 9.267e+06, 
9.26255e+06, 9.26155e+06, 9.27856e+06, 9.26642e+06, 9.27945e+06, 9.26714e+06, 
9.26274e+06, 9.26174e+06, 9.27848e+06, 9.26616e+06, 9.27954e+06, 9.26709e+06, 
9.26289e+06, 9.2618e+06, 9.27869e+06, 9.26626e+06, 9.27934e+06, 9.2671e+06, 
9.26271e+06, 9.26162e+06, 9.27848e+06, 9.26632e+06, 9.2795e+06, 9.26689e+06, 
9.26285e+06, 9.26159e+06, 9.27856e+06, 9.26615e+06, 9.27948e+06, 9.26713e+06, 
9.26266e+06, 9.26163e+06, 9.27868e+06, 9.26629e+06, 9.27941e+06, 9.26718e+06, 
9.26269e+06, 9.26168e+06, 9.27844e+06, 9.26633e+06, 9.27951e+06, 9.26695e+06, 
9.26284e+06, 9.26155e+06, 9.27851e+06, 9.2661e+06, 9.27951e+06, 9.26714e+06, 
9.26264e+06, 9.26161e+06, 9.27863e+06, 9.26636e+06, 9.27941e+06, 9.26706e+06, 
9.26272e+06, 9.26173e+06, 9.27858e+06, 9.2665e+06, 9.27956e+06, 9.26688e+06, 
9.26276e+06, 9.26165e+06, 9.27855e+06, 9.26632e+06, 9.27945e+06, 9.26717e+06, 
9.26268e+06, 9.26163e+06, 9.2785e+06, 9.26614e+06, 9.27946e+06, 9.26685e+06, 
9.26276e+06, 9.26174e+06, 9.27856e+06, 9.26624e+06, 9.27957e+06, 9.26715e+06, 
9.26264e+06, 9.26176e+06, 9.27866e+06, 9.26643e+06, 9.27939e+06, 9.2671e+06, 
9.26271e+06, 9.2617e+06, 9.27853e+06, 9.26636e+06, 9.27963e+06, 9.26696e+06, 
9.26275e+06, 9.26172e+06, 9.27846e+06, 9.26609e+06, 9.27948e+06, 9.26717e+06, 
9.2627e+06, 9.26164e+06, 9.27863e+06, 9.2663e+06, 9.27934e+06, 9.26701e+06, 
9.26276e+06, 9.2617e+06, 9.27848e+06, 9.26652e+06, 9.27967e+06, 9.26698e+06, 
9.26289e+06, 9.26165e+06, 9.27866e+06, 9.26627e+06, 9.27955e+06, 9.26725e+06, 
9.26264e+06, 9.26158e+06, 9.27862e+06, 9.26638e+06, 9.27952e+06, 9.26702e+06, 
9.26288e+06, 9.26169e+06, 9.2786e+06, 9.26617e+06, 9.27966e+06, 9.26717e+06, 
9.26276e+06, 9.26172e+06, 9.27859e+06, 9.26631e+06, 9.27954e+06, 9.26734e+06, 
