10 27.0243485314442 -1.1457628381751 27.7238 -0.935152
10.1024 27.0243127863291 -1.15749227383742 27.1701 -0.649412
10.2059 27.0242762874825 -1.16934761069277 27.9767 -0.166355
10.3104 27.0242390588688 -1.18131739026506 27.6717 -1.36502
10.416 27.0242010534462 -1.19341306275012 27.5169 -1.91924
10.5226 27.0241622956764 -1.20562316968038 27.2351 -1.11443
10.6304 27.02412270064 -1.21797061483861 27.7791 -0.655813
10.7392 27.0240823294728 -1.23043248557613 27.311 -1.53862
10.8492 27.0240410955095 -1.24303168504779 27.3311 -0.398815
10.9603 27.023999023085 -1.25575675446949 27.2636 -1.37995
11.0726 27.0239560610405 -1.26861914246485 27.3184 -0.988727
11.1859 27.0239122730529 -1.28159593681343 27.3616 -0.010556
11.3005 27.0238675296196 -1.29472149263826 27.334 -1.17637
11.4162 27.0238218945371 -1.30797289759148 27.4401 -1.37943
11.5331 27.0237753145267 -1.32136159934826 27.1791 -1.34961
11.6512 27.0237277750052 -1.33488759202629 27.6079 -1.88591
11.7705 27.0236792612407 -1.34855086960685 27.6489 -0.876197
11.8911 27.0236297170622 -1.36236287861095 27.6537 -0.617512
12.0128 27.0235792095992 -1.37630070725018 27.6867 -1.39811
12.1359 27.0235275985229 -1.39039870670996 27.4129 -0.466837
12.2601 27.0234749936329 -1.40462251275914 28.0144 -1.11628
12.3857 27.0234212517179 -1.41900647545608 27.4387 -1.13869
12.5125 27.0233664413956 -1.43352768307067 27.7519 -2.14054
12.6407 27.0233104590771 -1.44820903221068 27.6743 -360
12.7701 27.0232533747912 -1.46302761137983 28.6062 -1.94464
12.9009 27.0231950828229 -1.47800631624515 28.8884 -1.59124
13.033 27.0231356093978 -1.49313368693187 28.2841 -1.5872
13.1665 27.0230748909641 -1.50842116643438 27.667 -1.95836
13.3013 27.0230129542879 -1.52385729480403 27.7398 -2.14461
13.4375 27.0229497345165 -1.5394535143207 27.9792 -2.74879
13.5751 27.0228852118458 -1.55520981567676 28.1934 -1.21194
13.7141 27.02281936627 -1.57112618934878 28.0811 -2.42852
13.8546 27.0227521294828 -1.58721407595815 28.3558 -1.23902
13.9964 27.022683576781 -1.60345056462926 28.4606 -1.84616
14.1398 27.0226135417676 -1.61986999570858 28.4663 -1.95567
14.2846 27.0225420997985 -1.63644945802126 27.3322 -1.94648
14.4309 27.0224691797348 -1.65320039050477 27.4653 -2.45766
14.5786 27.0223948094055 -1.67011133222893 27.4561 -0.869721
14.7279 27.0223188651003 -1.687205170464 27.8675 -2.74889
14.8787 27.0222413736738 -1.70447044354644 27.6413 -1.04983
15.0311 27.0221622594768 -1.72191858796485 28.1881 -0.674817
15.185 27.0220815499157 -1.73953814188389 28.6306 -1.49095
15.3405 27.0219991677922 -1.75734054078472 29.1553 -2.05249
15.4976 27.021915087294 -1.77532577081499 28.6445 -1.56645
15.6563 27.0218292823458 -1.79349381780118 28.8187 -0.586085
15.8167 27.0217416717125 -1.81185611494366 27.8018 -360
15.9786 27.0216523380288 -1.83038975177347 27.5101 -1.8517
16.1423 27.0215610880394 -1.84912905550119 28.0296 -1.07871
16.3076 27.0214680043824 -1.86805111518325 28.1305 -1.78527
16.4746 27.0213730024622 -1.88716736165668 28.0298 -3.23046
16.6433 27.0212760528464 -1.9064777779082 28.2559 -0.989635
16.8137 27.021177125807 -1.92598234653279 28.3509 -1.19506
16.9859 27.0210761323735 -1.94569249567334 28.1823 -0.963287
17.1598 27.0209730999702 -1.96559676063196 28.1765 -0.724094
17.3356 27.0208678776506 -1.98571801356721 28.0604 -2.72133
17.5131 27.0207605523467 -2.00603334349748 27.8006 -2.08684
17.6924 27.0206510314094 -2.02655417573379 27.282 -2.01506
17.8736 27.0205392193886 -2.04729193397622 27.5095 -1.97768
18.0566 27.0204251432772 -2.06823515178535 27.9919 -1.00351
18.2416 27.0203086423791 -2.08940669520052 27.9025 -4.02663
18.4284 27.0201898062571 -2.11078365282166 27.1363 -2.37249
