9.17543e+06, 
9.17552e+06, 
9.17543e+06, 
9.17546e+06, 
9.17546e+06, 
9.17561e+06, 
9.17565e+06, 
9.17564e+06, 
9.17568e+06, 
9.1758e+06, 
9.17578e+06, 
9.17564e+06, 
9.1757e+06, 
9.17577e+06, 
9.17584e+06, 
9.17597e+06, 
9.1759e+06, 
9.17577e+06, 
9.17567e+06, 
9.17566e+06, 
9.17543e+06, 
9.17535e+06, 
9.17521e+06, 
9.17517e+06, 
9.17516e+06, 
9.17524e+06, 
9.17527e+06, 
9.17525e+06, 
9.1752e+06, 
9.17525e+06, 
9.17526e+06, 
9.17532e+06, 
9.17527e+06, 
9.17533e+06, 
9.17529e+06, 
9.17518e+06, 
9.17504e+06, 
9.17501e+06, 
9.17516e+06, 
9.17504e+06, 
9.17473e+06, 
9.17449e+06, 
9.17429e+06, 
9.17428e+06, 
9.17426e+06, 
9.17414e+06, 
9.17418e+06, 
9.17427e+06, 
9.17419e+06, 
9.17413e+06, 
9.1742e+06, 
9.17402e+06, 
9.17387e+06, 
9.17398e+06, 
9.1739e+06, 
9.17377e+06, 
9.17376e+06, 
9.1737e+06, 
9.1737e+06, 
9.17372e+06, 
9.1737e+06, 
9.17356e+06, 
9.17343e+06, 
9.17334e+06, 
9.17338e+06, 
9.17339e+06, 
9.17345e+06, 
9.17339e+06, 
9.17333e+06, 
9.17341e+06, 
9.1736e+06, 
9.1736e+06, 
9.17356e+06, 
9.1734e+06, 
9.17324e+06, 
9.1732e+06, 
9.17309e+06, 
9.17282e+06, 
9.1726e+06, 
9.17263e+06, 
9.17246e+06, 
9.17236e+06, 
9.17238e+06, 
9.17247e+06, 
9.17242e+06, 
9.17253e+06, 
9.17272e+06, 
9.17279e+06, 
9.17272e+06, 
9.1727e+06, 
9.17278e+06, 
9.17276e+06, 
9.17266e+06, 
9.17263e+06, 
9.17249e+06, 
9.17229e+06, 
9.17216e+06, 
9.17215e+06, 
9.17226e+06, 
9.17223e+06, 
9.17223e+06, 
9.17225e+06, 
9.17224e+06, 
9.17234e+06, 
9.17251e+06, 
9.17261e+06, 
9.17262e+06, 
9.17249e+06, 
9.17247e+06, 
9.17256e+06, 
9.17254e+06, 
9.1726e+06, 
9.17266e+06, 
9.17267e+06, 
9.17257e+06, 
9.1725e+06, 
9.17241e+06, 
9.17252e+06, 
9.17256e+06, 
9.17253e+06, 
9.17245e+06, 
9.17238e+06, 
9.17232e+06, 
9.17231e+06, 
9.17232e+06, 
9.17232e+06, 
9.17223e+06, 
9.17228e+06, 
9.17221e+06, 
9.17226e+06, 
9.17232e+06, 
9.17251e+06, 
9.1726e+06, 
9.1728e+06, 
9.17293e+06, 
9.17291e+06, 
